city,country,lat,lon,season_aegypti_1991_2020,season_albopictus_1991_2020,season_aegypti_1961_1990,season_albopictus_1961_1990,delta_aegypti,delta_albopictus,abs_lat,temp_mean_c
Tasikmalaya,Indonesia,-7.3161,108.1975,12,12,12,12,0,0,7.3161,22.992500000000003
Tbilisi,Georgia,41.7225,44.7925,3,3,2,3,1,0,41.7225,10.153333333333334
Tegucigalpa,Honduras,14.1057,-87.204,12,12,12,12,0,0,14.1057,21.743333333333336
Tehran,Iran,35.6889,51.3897,0,2,0,2,0,0,35.6889,12.040833333333333
Tengyue,China,25.0167,98.4833,5,6,5,5,0,1,25.0167,16.156666666666666
Teresina,Brazil,-5.0903,-42.8167,12,10,12,12,0,-2,5.0903,28.184166666666666
Thanh Hóa,Vietnam,19.8075,105.7764,11,12,9,12,2,0,19.8075,24.620833333333334
The Hague,Netherlands,52.08,4.31,0,3,0,2,0,1,52.08,10.769166666666665
Thessaloníki,Greece,40.6403,22.9356,5,4,4,4,1,0,40.6403,15.055833333333332
Thiruvananthapuram,India,8.5241,76.9366,12,12,12,12,0,0,8.5241,26.245
Thāne,India,19.1972,72.9722,12,12,12,12,0,0,19.1972,26.959999999999997
