species,lat,lon,year,country_name,iso3,source_type,location_type,source,is_point
Ae. aegypti,29.75,-95.35,1968,United States of America,USA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,29.9,-81.32,1968,United States of America,USA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,29.95,-82.11,1968,United States of America,USA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,30.0,-81.69,1968,United States of America,USA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,30.29,-81.4,1968,United States of America,USA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,30.34,-95.09,1968,United States of America,USA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,30.42,-87.23,1968,United States of America,USA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,30.48,-90.11,1968,United States of America,USA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,30.63,-87.05,1968,United States of America,USA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,30.68,-81.45,1968,United States of America,USA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,30.85,-96.98,1968,United States of America,USA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,31.09,-97.36,1968,United States of America,USA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,31.33,-94.73,1968,United States of America,USA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,31.6,-94.66,1968,United States of America,USA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,31.76,-95.63,1968,United States of America,USA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,31.79,-95.15,1968,United States of America,USA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,31.86,-81.63,1968,United States of America,USA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,32.32,-90.89,1968,United States of America,USA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,32.37,-88.71,1968,United States of America,USA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,32.48,-93.77,1968,United States of America,USA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,32.49,-94.07,1968,United States of America,USA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,32.75,-97.33,1968,United States of America,USA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,-21.05,31.67,1969,Zimbabwe,ZWE,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,-5.07,39.1,1969,United Republic of Tanzania,TZA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,1.28,103.82,1969,Singapore,SGP,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,1.31,103.89,1969,Singapore,SGP,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,1.31,103.85,1969,Singapore,SGP,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,1.32,103.85,1969,Singapore,SGP,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,6.32,0.09,1969,Ghana,GHA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,6.48,2.63,1969,Benin,BEN,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,9.43,100.01,1969,Thailand,THA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,9.45,99.94,1969,Thailand,THA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,9.48,99.97,1969,Thailand,THA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,9.5,99.93,1969,Thailand,THA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,9.57,100.0,1969,Thailand,THA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,10.31,123.9,1969,Philippines,PHL,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,11.62,-2.75,1969,Burkina Faso,BFA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,12.77,79.78,1969,India,IND,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,12.9,79.33,1969,India,IND,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,12.92,79.14,1969,India,IND,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,12.93,79.33,1969,India,IND,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,12.98,-3.15,1969,Burkina Faso,BFA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,13.08,80.27,1969,India,IND,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,13.21,79.11,1969,India,IND,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,13.75,100.52,1969,Thailand,THA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,13.75,100.5,1969,Thailand,THA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,13.75,100.53,1969,Thailand,THA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,13.78,100.57,1969,Thailand,THA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,13.78,100.62,1969,Thailand,THA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,13.88,100.59,1969,Thailand,THA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,16.78,96.11,1969,Myanmar,MMR,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,17.97,-66.91,1969,Puerto Rico,PRI,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,17.97,-66.06,1969,Puerto Rico,PRI,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,17.98,-66.11,1969,Puerto Rico,PRI,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,18.01,-66.02,1969,Puerto Rico,PRI,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,18.02,-66.62,1969,Puerto Rico,PRI,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,18.08,-66.36,1969,Puerto Rico,PRI,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,18.16,-65.83,1969,Puerto Rico,PRI,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,18.18,-65.87,1969,Puerto Rico,PRI,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,18.21,-67.14,1969,Puerto Rico,PRI,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,18.23,-65.92,1969,Puerto Rico,PRI,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,18.24,-66.04,1969,Puerto Rico,PRI,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,18.27,-65.65,1969,Puerto Rico,PRI,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,18.27,-66.7,1969,Puerto Rico,PRI,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,18.3,-66.88,1969,Puerto Rico,PRI,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,18.33,-65.66,1969,Puerto Rico,PRI,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,18.35,-66.32,1969,Puerto Rico,PRI,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,18.36,-66.11,1969,Puerto Rico,PRI,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,18.38,-65.96,1969,Puerto Rico,PRI,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,18.4,-66.04,1969,Puerto Rico,PRI,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,18.43,-65.88,1969,Puerto Rico,PRI,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,18.43,-67.15,1969,Puerto Rico,PRI,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,18.44,-66.49,1969,Puerto Rico,PRI,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,18.45,-66.06,1969,Puerto Rico,PRI,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,18.46,-66.55,1969,Puerto Rico,PRI,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,18.47,-66.94,1969,Puerto Rico,PRI,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,18.48,-66.73,1969,Puerto Rico,PRI,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,18.49,-66.83,1969,Puerto Rico,PRI,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,25.62,-80.35,1969,United States of America,USA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,31.33,-85.7,1969,United States of America,USA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,32.01,-81.15,1969,United States of America,USA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,32.32,-89.03,1969,United States of America,USA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,32.32,-89.02,1969,United States of America,USA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,32.33,-88.93,1969,United States of America,USA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,32.37,-84.96,1969,United States of America,USA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,32.37,-88.71,1969,United States of America,USA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,33.42,-82.16,1969,United States of America,USA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,33.71,-84.43,1969,United States of America,USA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,33.72,-85.78,1969,United States of America,USA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,34.05,-80.78,1969,United States of America,USA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,-6.21,106.84,1972,Indonesia,IDN,unpublished,,Kraemer et al. 2015/2017,False
Ae. aegypti,-6.18,106.85,1972,Indonesia,IDN,unpublished,,Kraemer et al. 2015/2017,False
Ae. aegypti,-6.16,106.79,1972,Indonesia,IDN,unpublished,,Kraemer et al. 2015/2017,False
Ae. aegypti,-6.15,106.83,1972,Indonesia,IDN,unpublished,,Kraemer et al. 2015/2017,False
Ae. aegypti,-10.95,39.27,1970,United Republic of Tanzania,TZA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,-8.97,36.3,1970,United Republic of Tanzania,TZA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,-8.97,36.3,1970,United Republic of Tanzania,TZA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,-6.82,39.28,1970,United Republic of Tanzania,TZA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,-6.69,39.27,1970,United Republic of Tanzania,TZA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,-6.65,39.25,1970,United Republic of Tanzania,TZA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,-6.18,35.74,1970,United Republic of Tanzania,TZA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,-6.18,106.83,1970,Indonesia,IDN,published,point,Kraemer et al. 2015/2017,True
